Data;20740 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.a.;20742 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total - % a.a.;20748 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.a.;22024 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Cartão de crédito total - % a.a.
07/2023;56,97 ;92,61 ;42,57 ;97,72
08/2023;56,52 ;92,60 ;42,21 ;97,25
09/2023;56,06 ;91,30 ;41,85 ;97,08
10/2023;55,13 ;89,55 ;41,20 ;94,81
11/2023;54,76 ;93,92 ;42,32 ;90,73
12/2023;53,94 ;94,07 ;42,19 ;88,95
01/2024;52,25 ;90,04 ;41,17 ;83,77
02/2024;52,66 ;91,81 ;41,38 ;85,40
03/2024;53,36 ;96,32 ;42,39 ;87,04
04/2024;52,82 ;95,78 ;42,28 ;85,31
05/2024;52,62 ;95,58 ;42,18 ;84,62
06/2024;52,61 ;95,32 ;42,26 ;84,96
07/2024;52,19 ;99,16 ;43,16 ;81,75
08/2024;51,79 ;95,44 ;42,14 ;81,95
09/2024;52,26 ;94,23 ;42,16 ;83,77
10/2024;52,39 ;97,15 ;43,52 ;81,24
11/2024;53,16 ;99,33 ;44,38 ;81,68
12/2024;53,11 ;103,35 ;45,90 ;77,80
01/2025;54,22 ;99,89 ;45,90 ;80,02
02/2025;56,82 ;106,35 ;48,30 ;86,66
03/2025;57,08 ;105,25 ;48,35 ;88,33
04/2025;58,31 ;105,87 ;49,35 ;89,55
05/2025;58,98 ;104,30 ;48,92 ;92,73
06/2025;59,40 ;108,39 ;50,22 ;92,06
07/2025;58,44 ;104,55 ;49,18 ;90,37
08/2025;58,79 ;103,97 ;49,34 ;91,77
09/2025;58,66 ;101,10 ;49,07 ;91,71
10/2025;59,16 ;101,12 ;49,30 ;92,72
11/2025;61,08 ;111,48 ;52,67 ;93,80
12/2025;60,50 ;116,59 ;54,21 ;89,18
01/2026;61,23 ;118,02 ;54,79 ;90,37
02/2026;62,12 ;112,15 ;53,52 ;96,80
03/2026;61,72 ;117,05 ;54,75 ;93,91
04/2026;62,99 ;125,04 ;57,02 ;94,23
05/2026;62,76 ;120,33 ;55,33 ;96,56
06/2026;63,95 ;127,30 ;57,33 ;97,42
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
