date;period;year;quarter;credit_pf;credit_card_pf;personal_credit_pf;payroll_credit_pf;vehicle_credit_pf;mortgage_credit_pf;npl90_balance_pf;npl90_pf_rate;npl90_pf_rate_calc;npl15_90_balance_pf;npl15_90_pf_rate;share_cartao_pf;share_credito_pessoal_pf;share_consignado_pf;share_veiculos_pf;share_imobiliario_pf;risk_total_credit;risk_high_share;risk_BH_share;early_delinquency_1_30;severe_delinquency_91_plus;overdue_share;severe_overdue_share;pdd_balance_total;pdd_net_formation;pdd_writeoffs;pdd_to_credit_rate;renegotiated_credit_brazil;renegotiated_overdue_upto30;renegotiated_overdue_above30;reneg_to_credit_rate;npl90_rate_gap
31/12/2018;2018Q4;2018;4;211.314.866;77.466.354;29.230.605;46.669.135;15.900.171;42.048.599;9.541.827;0.0443;0.045154546770031785;6.330.674;0.0294;0.36659206929625104;0.13832725332253717;0.2208511681331497;0.075243977392485;0.19898552239102762;435.125.587;0.07928950866316212;0.23507754325649435;1.308.518;10.863.719.000.000.000;0.025109111021578107;0.020402059191931058;-34.260.632;-3.251.335;4.061.113;0.07873734164017342;25.220.846;10.672.733;16.653.006;0.057962222295146255;-0.000854546770031786
31/03/2019;2019Q1;2019;1;215.606.127;76.441.362;31.129.918;48.620.501;16.558.721;42.855.623;9.700.897;0.0441;0.044993605399720395;7.385.972;0.0336;0.35454169630346355;0.1443832716312371;0.2255061193135759;0.07680079054525199;0.1987681129302972;446.510.544;0.07745586854495422;0.2339543677158943;1.704.886;11293.93;0.026784083012503512;0.02077411349153953;-34.205.818;-4.157.503;4.150.635;0.07660696585924295;25.371.244;10.867.635;16.768.346;0.05682115314168258;-0.0008936053997203944
30/06/2019;2019Q2;2019;2;222.325.766;79.290.632;32.768.917;49.093.848;17.202.255;43.970.113;10.185.377;0.0448;0.04581285013991586;7.649.744;0.0337;0.3566416678847741;0.14739144989609526;0.220819425850983;0.0773740952724301;0.1977733565978133;452.852.331;0.07335120463363587;0.23430386626407804;17.337.469.999.999.900;11.244.086;0.025384641261749;0.020336243578731896;-33.090.509;-4.258.223;5.249.771;0.0730713010285907;24.681.295;11.362.857;15.586.742;0.0545018614467505;-0.0010128501399158593
30/09/2019;2019Q3;2019;3;229.740.353;83.343.903;34.237.521;49.345.864;17.969.534;44843.53;11.002.276;0.0467;0.04789004568126523;7426.53;0.0315;0.36277433159511163;0.14902702356342248;0.21478971088722928;0.07821670753679046;0.19519222206470624;471.356.718;0.07448291635465776;0.2403526494343929;1.757.229;10.524.724;0.02600731339710165;0.018271468857508823;-34.477.248;-5.534.767;4.623.168;0.0731447048135633;25.960.334;11542.88;16.906.864;0.05507576960004206;-0.0011900456812652324
31/12/2019;2019Q4;2019;4;239.788.638;90.927.905;34.555.126;49.389.436;18.969.668;45.946.502;11.807.501;0.0481;0.0492412864032365;7543.34;0.0307;0.3792002229897148;0.14410660274904266;0.2059707099216269;0.07910995349162457;0.19161250667765167;470.499.757;0.0823074771534898;0.2546934769192665;1.722.693;11.142.772;0.026831072637176955;0.01911226096524519;-39.746.578;-9.945.213;4.304.638;0.08447736137725573;25.679.199;11266.37;16.784.365;0.05457855953791704;-0.001141286403236505
31/03/2020;2020Q1;2020;1;238.051.782;83.840.098;37.353.037;50.290.088;19.415.291;47.153.266;12.531.982;0.0513;0.05264393273897021;8.566.794;0.035;0.3521926922605435;0.15691139417725508;0.21125692728483755;0.08155910800953382;0.19807986986629658;531333.0;0.08479804567004119;0.2575936371352805;2136.0;13271.0;0.027709907315784457;0.020745694459425448;-47083.0;-10872.0;4920.0;0.08861297905456654;28.945.161;13.118.937;18.544.133;0.05447649778952183;-0.0013439327389702105
30/06/2020;2020Q2;2020;2;228.815.984;72886.87;37.273.844;50.385.481;19.470.708;48.799.079;11.835.363;0.0502;0.051724371668021234;5690.0;0.0241;0.3185392415592785;0.1628987772112983;0.22020087984762463;0.08509330362165608;0.21326778901949436;559718.0;0.08376539614591634;0.2646404082055607;1668.0;9238.0;0.02491946498590067;0.014050660250228905;-49267.0;-6899.0;5435.0;0.08802111063071047;32.555.959;13.990.881;21746.54;0.05816493126896044;-0.0015243716680212321
30/09/2020;2020Q3;2020;3;237.694.035;77.524.481;36.633.619;50.768.867;21.493.979;51.273.087;10.453.264;0.0425;0.0439778137469878;7.391.581;0.03;0.3261524042873015;0.15412090168775164;0.2135891504387142;0.09042708623293806;0.2157104489391162;586574.0;0.07887495865824261;0.2572241524513531;1357.0;9981.0;0.0200804552846472;0.014479339993936115;-51140.0;-6608.0;5261.0;0.08718422569019425;32362.61;13.564.782;22.707.084;0.05517225448110554;-0.0014778137469877994
31/12/2020;2020Q4;2020;4;255.626.566;86.260.469;35065.25;55.280.181;23.335.504;55685.16;11.107.649;0.042;0.04345263942559084;6.424.104;0.0243;0.33744720022566044;0.13717373177872288;0.21625366199223597;0.09128747596601522;0.2178379222134526;598916.0;0.0815757134556432;0.2586189048213773;1229.0;12322.0;0.01900632324400854;0.017341422807306422;-52158.0;-5761.0;4467.0;0.08708733779027443;31.963.798;12.683.384;23.235.401;0.05336941741412819;-0.001452639425590839
31/03/2021;2021Q1;2021;1;261.281.753;82.780.865;35.620.369;56.062.883;24.381.531;62.436.103;10.444.597;0.0386;0.03997446006112796;7.537.985;0.0279;0.31682604716755713;0.13632934022759713;0.21456868823135922;0.09331509269229374;0.2389608240266208;628857.0;0.08184849655804102;0.25439646851350944;2705.0;11704.0;0.02116171944560767;0.01586146425817433;-51244.0;-3144.0;5167.0;0.08148752419071427;32.674.719;13.181.946;23.714.187;0.05195890162628388;-0.0013744600611279578
