"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R"
"Serasa_Divida_Media_R",0.591597018334519,0.230777792676436,0.705580962512945,0.705580962512945,0.677588575892251,0.0644358330307729,0.225946208276362,0.535883183318689,0.754466414733791,NA,NA,0.972313565322013,0.97924343560794,0.997589783896137,0.623643609760867,1,0.970328140400965,0.977777595272095,0.980970019681404,0.982788474848628,0.798489003752437,0.96112654995129,0.985626666117376,0.971983213269682,-0.904129121629563,0.794736931782427
"Serasa_Ticket_Medio_R",0.500599812365866,0.0348511366824437,0.556684996197601,0.556684996197601,0.531947743742371,-0.104095340594179,0.0262910559688175,0.385378167637678,0.700160467541813,NA,NA,0.982416613350403,0.910670060763246,0.97222697988075,0.418337014720294,0.970328140400965,1,0.95895885062162,0.979237749960024,0.968139444307642,0.763590179270665,0.930844820647132,0.980861164238001,0.987346249948166,-0.883868129932427,0.74470689632393
"Serasa_Populacao_Adulta_pct",0.721299213557435,0.39465427737763,0.810778674230643,0.810778674230643,0.803683329239565,0.147164887108785,0.437187329884688,0.573157597578398,0.708447300047993,NA,NA,0.992347648951414,0.978917695517864,0.986119546849338,0.666969695100744,0.977777595272095,0.95895885062162,1,0.990519021695448,0.998713587392461,0.886062245659134,0.994354078150204,0.988165337720559,0.958047463250448,-0.927449681430663,0.741256957471937
"Serasa_Genero_F_milhoes",0.835709551745151,0.83779603569181,0.892618677508022,0.892618677508022,0.912248011801831,0.272868298602363,0.614952103420743,0.815208433289263,0.744500690512986,NA,NA,0.998637058760759,0.980700237515677,0.986270007690621,0.901673306483608,0.980970019681404,0.979237749960024,0.990519021695448,1,0.993788162268526,0.841823328181267,0.971723871766156,0.996878875195451,0.987359340611125,-0.922123164510024,0.688229155095381
"Serasa_Genero_M_milhoes",0.824224161066159,0.865842841495376,0.918342533924448,0.918342533924448,0.928695152782773,0.351811516710522,0.678217556467717,0.830681089535134,0.733774056301637,NA,NA,0.99824206834237,0.992714987870113,0.989290126889017,0.933679650931037,0.982788474848628,0.968139444307642,0.998713587392461,0.993788162268526,1,0.872147556469956,0.990425000925542,0.99231930925656,0.967670343226923,-0.921857358735567,0.715393174469161
"Serasa_Ate_25_milhoes",0.866646152151774,0.966081474101884,0.860786078835188,0.860786078835188,0.916291692985171,0.419875488260706,0.780621887279236,0.869329537348833,0.563572542272439,NA,NA,0.857349915543255,0.857649164321887,0.806058641468236,0.84497875055059,0.798489003752437,0.763590179270665,0.886062245659134,0.841823328181267,0.872147556469956,1,0.909474898982116,0.812324122049626,0.761908502752144,-0.899259409233117,0.483410982784289
"Serasa_26_40_milhoes",0.815114620511087,0.901160847552752,0.945910827327107,0.945910827327107,0.947355731401608,0.428680144303124,0.757265657998797,0.843448178692478,0.687114833907687,NA,NA,0.982000821827389,0.988715590669677,0.971108021237971,0.95096522487661,0.96112654995129,0.930844820647132,0.994354078150204,0.971723871766156,0.990425000925542,0.909474898982116,1,0.96928941579974,0.92473679492895,-0.90438289475639,0.711742040551482
"Serasa_41_60_milhoes",0.795836528712724,0.807134709026191,0.896613682374578,0.896613682374578,0.902926629906102,0.301282473273575,0.619520973337353,0.78749870777416,0.743999636967625,NA,NA,0.996285980660741,0.983238391339355,0.992017602336172,0.906630117087058,0.985626666117376,0.980861164238001,0.988165337720559,0.996878875195451,0.99231930925656,0.812324122049626,0.96928941579974,1,0.986046249664735,-0.895926223732227,0.727581509864613
"Serasa_Acima_60_milhoes",0.813548747922112,0.764704473000526,0.823038933981335,0.823038933981335,0.848434172533637,0.167295591300638,0.494196151753539,0.77090451818245,0.76952154650345,NA,NA,0.979656260182303,0.950346601098492,0.972888984814317,0.851921219499415,0.971983213269682,0.987346249948166,0.958047463250448,0.987359340611125,0.967670343226923,0.761908502752144,0.92473679492895,0.986046249664735,1,-0.903668484177132,0.666419222155676
"PNAD_Taxa_Desocupacao_pct",-0.625872639245953,-0.0678514989666228,-0.644422478081747,-0.644422478081747,-0.667752113256259,-0.0165640464234985,-0.237401919731137,-0.685191137763444,-0.658136115378879,NA,NA,-0.909512584623877,-0.901765643475998,-0.899810796062637,-0.555993179663411,-0.904129121629563,-0.883868129932427,-0.927449681430663,-0.922123164510024,-0.921857358735567,-0.899259409233117,-0.90438289475639,-0.895926223732227,-0.903668484177132,1,-0.314682972237743
"PNAD_Rendimento_Medio_R",0.12483944863234,0.116141960983618,0.183970572097404,0.183970572097404,0.200933795481337,0.218040971018678,0.103455543826604,0.027905409424661,0.459296922732588,NA,NA,0.745393414314719,0.784749311240191,0.794160259660884,0.534536922996869,0.794736931782427,0.74470689632393,0.741256957471937,0.688229155095381,0.715393174469161,0.483410982784289,0.711742040551482,0.727581509864613,0.666419222155676,-0.314682972237743,1
