Data,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes
2017-05-01,60.309,229.928,233.24934903498814,3.8124989636704307,3867.5711591137006,1014.4451699444529,40.13364252078404,,,,,,
2017-06-01,59.972,228.455,232.24693394185044,3.8093610351497365,3872.5894407698665,1016.5981656862422,39.86661157719434,,,,,,
2017-07-01,59.785,226.939,230.8854600629449,3.795918708706197,3861.929582051433,1017.389959693772,39.699709366386266,,,,,,
2017-08-01,59.794,225.519,229.66715194011334,3.7715991571060643,3840.9732070126324,1018.3938024739083,39.6658439556419,,,,,,
2017-09-01,59.837,225.523,227.1938690722748,3.7689556628841685,3796.87934007846,1007.4088632745876,39.654533379259966,,,,,,
2017-10-01,60.364,226.558,228.6192542322677,3.7531972698959644,3787.3443481589643,1009.0981304225307,39.963630209996616,,,,,,
2017-11-01,60.478,227.911,229.80649140499867,3.7684943285161547,3799.8361619927687,1008.3168052660848,39.99891242746791,,,,,,
2017-12-01,59.733,224.993,225.79600262039895,3.7666449031523617,3780.088102395643,1003.5690115710219,39.46652370543436,,,,,,
2018-01-01,59.343291,222.929127,225.6434060985,3.756602022627966,3802.340623449751,1012.1755247285386,39.23951162210005,,,,,,
2018-02-01,59.716812,223.14573,225.173069811,3.7367321282991464,3770.6813587269194,1009.0852727094532,39.45177008102293,,,,,,
2018-03-01,60.256316,224.923871,229.6721744415,3.7327849747734327,3811.586729621838,1021.1107136845428,39.772542829122486,,,,,,
2018-04-01,60.653704,226.829005,234.3098103585,3.7397387140610574,3863.0750458125362,1032.9799328727822,39.997797059887006,,,,,,
2018-05-01,60.831201,227.460163,235.6848163715,3.7392022393245203,3874.4067599701016,1036.1586541705767,40.07446735874439,,,,,,
2018-06-01,61.165905,228.498758,235.5660598265,3.7357210360902857,3851.2641941045426,1030.9292789525798,40.253437240389104,,,,,,
2018-07-01,61.001422,227.105892,235.107540015,3.722960622131071,3854.1321219528295,1035.2331150219563,40.10474211732858,,,,,,
2018-08-01,61.043063,228.602987,237.6938753695,3.7449462029780523,3893.8720255485873,1039.7671460412719,40.09106065373259,,,,,,
2018-09-01,60.945824,227.727608,238.014869452,3.7365580289799674,3905.3515701420333,1045.1735366754478,39.98757921880442,,,,,,
2018-10-01,61.772394,230.572984,239.050788397,3.7326217921876235,3869.864399249283,1036.7684203497147,40.486414839178536,,,,,,
2018-11-01,62.664922,234.435809,250.361903701,3.741101105974408,3995.247990590334,1067.9337118716367,41.02599994336841,,,,,,
2018-12-01,62.473341,233.323142,246.212912516,3.73476331288253,3941.0876475455343,1055.2442865525957,40.85890366382117,,,,,,
2019-01-01,62.176389,229.193324,244.1287848315,3.6861793952041824,3926.3905279462274,1065.1653397701061,40.622983238440156,30.596152,31.580237,8.632275,23.417264,20.936872,9.189978
2019-02-01,62.172903,228.612706,243.23215786,3.6770473143259856,3912.1891712214247,1063.9485534981595,40.5748874433894,30.605162,31.567741,8.584212,23.391394,20.977382,9.219915
2019-03-01,62.960081,231.163426,248.6806031225,3.6715871760076038,3949.813900692091,1075.7783245629005,41.034175631052854,30.994635,31.965446,8.647358,23.619362,21.298095,9.395266
2019-04-01,63.205404,229.590133,247.924469064,3.6324446719777317,3922.520122867975,1079.856811895309,41.119737397609924,31.121997,32.083407,8.623733,23.653625,21.405728,9.522318
2019-05-01,63.374619,230.030093,250.721397067,3.629687982818484,3956.1799506360735,1089.9504225605822,40.905531289887854,31.206888,32.167731,8.591269,23.673098,21.495635,9.614617
2019-06-01,63.450581,229.535711,251.7862901875,3.6175509724646964,3968.226708396886,1096.9373309737412,41.23367736198536,31.238109,32.212472,8.589862,23.699304,21.531008,9.630407
2019-07-01,63.463368,228.924864,252.093118164,3.6071968950655124,3972.2618907335645,1101.2046212856983,41.14939215828361,31.253575,32.209793,8.582518,23.665293,21.54809,9.667467
2019-08-01,63.427939,229.169126,256.166550275,3.613062786101248,4038.702097430598,1117.805678043211,41.08409879324509,31.212792,32.215147,8.531247,23.636213,21.578072,9.682407
2019-09-01,63.206609,226.263637,252.686649351,3.5797464945477455,3997.788417204916,1116.7797561346547,40.902571919700414,31.065532,32.141077,8.461761,23.563721,21.542809,9.638318
2019-10-01,63.85141,228.227743,254.9445345305,3.574357136357678,3992.7784606557625,1117.061980192741,41.28131661799113,31.390098,32.461312,8.564821,23.714484,21.765565,9.80654
2019-11-01,63.840968,226.600131,256.2711968565,3.549446978936786,4014.2122665887523,1130.940197278615,41.23608003856032,31.427759000000002,32.413209,8.562149,23.641386,21.794938,9.842495
2019-12-01,63.307343,224.841533,255.91062615149997,3.5515869462409753,4042.3529724111145,1138.1821798533101,40.85326874972058,31.084271,32.223072,8.465536,23.396888,21.655504,9.789415
2020-01-01,63.78236,226.936258,258.11509,3.5579783814835326,4046.8099643851374,1137.3902622471196,41.12141757572927,31.354362,32.427998,8.562917,23.513072,21.802344,9.904027
2020-02-01,63.889695,225.813889,255.077081287605,3.534433667276076,3992.4604631091916,1129.589868972165,41.15219494739969,31.564218,32.325477,8.620856,23.570854,21.829795,9.86819
2020-03-01,64.812645,227.651763,258.749816954349,3.5124590733798935,3992.273682926364,1136.6036157354467,41.70773347584642,32.252579,32.560066,8.568929,23.783338,22.297064,10.163314
2020-04-01,65.908612,229.267044,258.226970269609,3.478559736624403,3917.954914140947,1126.3152599883,42.37342982514899,32.904406,33.004206,8.621529,23.984043,22.793208,10.509832
2020-05-01,65.231943,225.890575,253.091587964979,3.4628828241403142,3879.871981813864,1120.4167680080454,41.899256441060864,32.506737,32.725206,8.456902,23.709341,22.623789,10.441911
2020-06-01,64.000691,221.911977,248.878757499139,3.467337204218623,3888.6886002393157,1121.520166976562,41.03170584410713,31.899055,32.101636,8.232027,23.252325,22.218854,10.297485
2020-07-01,63.503127,220.165636,251.294733264961,3.4670046405746286,3957.2025053972693,1141.3894458305065,40.681504908888364,31.637454,31.865673,8.092015,23.024033,22.072384,10.314695
2020-08-01,63.050431,220.458954,248.88312784134,3.4965495160532685,3947.3660035938533,1128.9318184887152,40.36053392812596,31.432337,31.618094,7.95332,22.783437,21.948622,10.365052
