"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct","Itau_Carteira_PF_Total_R_milhoes","Itau_Carteira_Cartao_Credito_R_milhoes","Itau_Carteira_Credito_Pessoal_R_milhoes","Itau_Carteira_Credito_Consignado_R_milhoes","Itau_Carteira_Veiculos_R_milhoes","Itau_Carteira_Credito_Imobiliario_R_milhoes","Itau_Carteira_MPME_R_milhoes","Itau_Cobertura_Estagio3_PF_Brasil_pct","Itau_Cobertura_Estagio3_PJ_Brasil_pct","Itau_Cobertura_Estagio3_Brasil_pct","Itau_Cobertura_Estagio3_America_Latina_pct","Itau_Cobertura_Estagio3_Total_pct","Itau_NPL_Creation_Total_R_milhoes","Itau_NPL_Creation_Varejo_Brasil_R_milhoes","Itau_NPL_Creation_Atacado_Brasil_R_milhoes","Itau_NPL_Creation_America_Latina_R_milhoes","PIB_Valores_Correntes_R_milhoes","GGR_Offshore_R_bilhoes","GGR_Nacional_R_bilhoes","GGR_Total_R_bilhoes"
"Serasa_26_40_milhoes",0.825589779365378,0.919259582853716,0.96948057297231,0.96948057297231,0.968247134918888,0.527635486864167,0.834322027979368,0.881549097964118,0.864683640410479,NA,NA,0.987518979543341,0.995871538729733,0.985029554033152,0.976997653556848,0.980683882669969,0.956781510013992,0.996181974310402,0.97969926364772,0.993974174798505,0.927225471186736,1,0.979891803612191,0.949377984781195,-0.901016826746724,0.850276208003836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114295193114561,0.744726898254268,0.928535022347694
"Serasa_41_60_milhoes",0.815586600004131,0.85527111633546,0.941391844269454,0.941391844269454,0.940993986162051,0.412719722909365,0.742239512122767,0.854648870484213,0.901616590055302,NA,NA,0.997510799605092,0.988594433547617,0.995775176219087,0.937292419327127,0.993119257230721,0.989445631239047,0.992512801409649,0.997735411109288,0.994826654961949,0.863026389289442,0.979891803612191,1,0.990065380587775,-0.89943897293175,0.842256910993631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129840955928057,0.764303722010325,0.96349832808366
"Serasa_Acima_60_milhoes",0.839319000900625,0.830680059890768,0.891630254083044,0.891630254083044,0.90755357355348,0.288862642370877,0.648345044183157,0.862160205953146,0.913313232035201,NA,NA,0.986850547287096,0.962750402536389,0.979026657344184,0.891435791363379,0.980306123081602,0.993602802010832,0.972329394185511,0.992647038522871,0.977878887921564,0.835077599481051,0.949377984781195,0.990065380587775,1,-0.920130191740452,0.785501806455629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198115644533338,0.727265761221114,0.979562527074818
"PNAD_Taxa_Desocupacao_pct",-0.659925661863206,-0.0970319958383473,-0.692081940833072,-0.692081940833072,-0.714930692309485,0.0176901304998927,-0.271991503095272,-0.729346532398586,-0.781309056123575,NA,NA,-0.919640189428134,-0.904527440531321,-0.907441255353796,-0.603588406746461,-0.915838390869021,-0.906041715585967,-0.925278797812455,-0.925040335944432,-0.917897141162251,-0.926147711901728,-0.901016826746724,-0.89943897293175,-0.920130191740452,1,-0.420243862837485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689904563828714,-0.352909427136875,-0.539740318817686,-0.900248392240748
"PNAD_Rendimento_Medio_R",0.274187923003631,0.243036363372283,0.339716906029206,0.339716906029206,0.355566527795187,0.348050884755321,0.268266831105232,0.133361788011129,0.65076683236491,NA,NA,0.852359315031478,0.880333930124315,0.886218627577238,0.634904700036289,0.885788018466519,0.842573300704705,0.868971114110949,0.815181373311195,0.842037758586933,0.687349548796457,0.850276208003836,0.842256910993631,0.785501806455629,-0.420243862837485,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468076002507823,0.135657787869864,0.767294879555901,0.971736820489705
"Itau_NPL90_Total_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_NPL90_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_NPL90_PF_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_NPL90_MPME_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_NPL90_Grandes_Empresas_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_PF_Total_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_Cartao_Credito_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_Credito_Pessoal_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_Credito_Consignado_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_Veiculos_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_Credito_Imobiliario_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Carteira_MPME_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Cobertura_Estagio3_PF_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Cobertura_Estagio3_PJ_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Cobertura_Estagio3_Brasil_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Cobertura_Estagio3_America_Latina_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_Cobertura_Estagio3_Total_pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_NPL_Creation_Total_R_milhoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
