"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct","Itau_Carteira_PF_Total_R_milhoes","Itau_Carteira_Cartao_Credito_R_milhoes","Itau_Carteira_Credito_Pessoal_R_milhoes","Itau_Carteira_Credito_Consignado_R_milhoes","Itau_Carteira_Veiculos_R_milhoes","Itau_Carteira_Credito_Imobiliario_R_milhoes","Itau_Carteira_MPME_R_milhoes","Itau_Cobertura_Estagio3_PF_Brasil_pct","Itau_Cobertura_Estagio3_PJ_Brasil_pct","Itau_Cobertura_Estagio3_Brasil_pct","Itau_Cobertura_Estagio3_America_Latina_pct","Itau_Cobertura_Estagio3_Total_pct","Itau_NPL_Creation_Total_R_milhoes","Itau_NPL_Creation_Varejo_Brasil_R_milhoes","Itau_NPL_Creation_Atacado_Brasil_R_milhoes","Itau_NPL_Creation_America_Latina_R_milhoes"
"Inadimplencia_Nao_Consignado_Sem_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serasa_Inadimplentes_milhoes",0.536597857190835,0.0772557458718448,0.629616852300997,0.629616852300997,0.599056878177109,-0.0362434026466252,0.116292282739698,0.421476820692171,0.647987670560925,NA,NA,1,0.948199338874932,0.98333972943793,0.496557106389433,0.97580158633558,0.984130482408407,0.992792484118446,0.998787875486336,0.998444002187628,0.863714605982727,0.983972076511126,0.996611499844373,0.981802570667736,-0.901221072126314,0.769149058766176,NA,NA,NA,NA,NA,0.955454929482849,0.907133878792686,0.79685348874137,0.686487653478401,0.163351707174382,0.968105816296064,0.895391290041635,-0.616981707448111,-0.583406416416084,-0.66907582113709,-0.837341270281541,-0.726441634333461,0.583041127098842,0.713181739788364,0.60410833430234,-0.524878954985295
"Serasa_Dividas_Negativadas_milhoes",0.642248587754586,0.349709951188343,0.807450267798583,0.807450267798583,0.775126698231824,0.192122736757122,0.375864455079471,0.623822186679937,0.724365017832571,NA,NA,0.948199338874932,1,0.980992271813301,0.745065427509238,0.98013264879151,0.91238116655684,0.981583587707924,0.982707186626579,0.993629326590581,0.863254081992207,0.990521031425274,0.985395787339653,0.954883042518139,-0.890158344885732,0.805395597926008,NA,NA,NA,NA,NA,0.939203998516093,0.887661104036555,0.767079933224467,0.708009003033299,0.104462678465561,0.953591732042213,0.873121384430707,-0.629221208126014,-0.58946143811697,-0.680201986265836,-0.842711164866727,-0.734269640711599,0.616670551558742,0.748209753737823,0.633209991353636,-0.53331091785251
"Serasa_Dividas_Negativadas_R_bilhoes",0.564960622729361,0.182578499885716,0.6966837856202,0.6966837856202,0.65735490452597,0.0450783157541197,0.198932043979955,0.505051740146371,0.721304904878289,NA,NA,0.98333972943793,0.980992271813301,1,0.615589936753548,0.997884271325614,0.972020275764532,0.988272136747977,0.987848006295703,0.990652984505913,0.815699711888988,0.974960039019342,0.993373035622213,0.975153533218505,-0.889846738061204,0.809581469627893,NA,NA,NA,NA,NA,0.953715578114845,0.892058044770661,0.802917686013729,0.701334436082882,0.157353188189199,0.9704554231992,0.891012118762223,-0.629315947454867,-0.588539454686356,-0.681890029013417,-0.813039869252452,-0.723545697422152,0.586556086569055,0.718315254124488,0.592738546455103,-0.523588027298811
"Serasa_Dividas_Media_por_CPF",0.669817505741353,0.800636055723213,0.840954533701606,0.840954533701606,0.835919984652613,0.579260148847886,0.764937564034106,0.817653108385958,0.594903106845054,NA,NA,0.496557106389433,0.745065427509238,0.615589936753548,1,0.631921553659418,0.430904880765824,0.696088921868367,0.913788450923092,0.942721913046572,0.854990727955675,0.959105987887897,0.918852059294129,0.867578282484424,-0.522522396220653,0.528613713181425,NA,NA,NA,NA,NA,0.911035703250257,0.856683668945607,0.72918785530927,0.712718294618521,0.0361427501009402,0.929062482214943,0.836563838929899,-0.642996705428389,-0.573806598626044,-0.673071450437373,-0.848728636141659,-0.725633189054865,0.654269447973878,0.78689049837035,0.674526377715263,-0.545367967701633
"Serasa_Divida_Media_R",0.57487605732146,0.204420943088129,0.68871322627051,0.68871322627051,0.657441675135037,0.0412573419525571,0.192933310674517,0.530386611676016,0.746249933164397,NA,NA,0.97580158633558,0.98013264879151,0.997884271325614,0.631921553659418,1,0.971079593355208,0.981417444796274,0.983966177089045,0.985528813713669,0.810503293192689,0.96671124052777,0.988220124636156,0.975183522868201,-0.893203042762621,0.809067427465217,NA,NA,NA,NA,NA,0.954656503519225,0.886858905696832,0.820342627981495,0.684597647047455,0.181763209026353,0.974520405081054,0.891862033419809,-0.632725608399483,-0.566606192257702,-0.665931068250647,-0.796495136514232,-0.701127469064963,0.574179412517992,0.706137248402264,0.581946477026498,-0.522686304000081
"Serasa_Ticket_Medio_R",0.479862549298931,0.0015400619304514,0.529464924698154,0.529464924698154,0.502374887641242,-0.137679911294882,-0.0145361464239871,0.371577160285926,0.681734817422724,NA,NA,0.984130482408407,0.91238116655684,0.972020275764532,0.430904880765824,0.971079593355208,1,0.963614413130918,0.982186134182699,0.971787321224075,0.778744218077744,0.938472279008748,0.983178219601178,0.98941613254475,-0.873661485332288,0.757185896373353,NA,NA,NA,NA,NA,0.966995667876859,0.893245500614853,0.87292814729057,0.637559976388444,0.289900993468966,0.988065129281145,0.913761858412756,-0.617764141357461,-0.538723520664232,-0.638483492201681,-0.747607989196251,-0.66158543529615,0.503334604653785,0.632031097424809,0.509931951133063,-0.498896331655681
"Serasa_Populacao_Adulta_pct",0.711101991089572,0.363405450333937,0.804343264644295,0.804343264644295,0.794093580570739,0.146397011841671,0.420793937512227,0.572279504645222,0.716588888353629,NA,NA,0.992792484118446,0.981583587707924,0.988272136747977,0.696088921868367,0.981417444796274,0.963614413130918,1,0.991485395090724,0.99900637803923,0.889565768635964,0.995064802919029,0.989548611832707,0.96248096091635,-0.919706538308448,0.770914367685761,NA,NA,NA,NA,NA,0.947648897998072,0.901039153810442,0.781209921512057,0.686518007567703,0.13912157452043,0.961200021877514,0.884259051000099,-0.61761105227383,-0.578191927466703,-0.664489810608695,-0.837707436628074,-0.723029186068848,0.597627218144158,0.726531380385538,0.619219101634619,-0.523932765423125
"Serasa_Genero_F_milhoes",0.834744751885422,0.839594265725925,0.895863635484357,0.895863635484357,0.91549279274933,0.284701468049658,0.618587886204971,0.827199570399701,0.75633489594243,NA,NA,0.998787875486336,0.982707186626579,0.987848006295703,0.913788450923092,0.983966177089045,0.982186134182699,0.991485395090724,1,0.994488984289291,0.849405726645715,0.974615162952545,0.997101128593695,0.98892474709911,-0.915723626219556,0.718307786267389,NA,NA,NA,NA,NA,0.955252702428262,0.906929920405584,0.791198064855041,0.699278715521294,0.15285891848104,0.966789970004389,0.895485301851412,-0.620275700815457,-0.600907989369673,-0.685622885495106,-0.838342389689104,-0.741484664785111,0.586602162992199,0.717985069536387,0.60376433114767,-0.527582987749978
"Serasa_Genero_M_milhoes",0.822779286807726,0.867714589963101,0.922049898348731,0.922049898348731,0.931857757867193,0.364556989922951,0.682259205553423,0.843028347353097,0.745468759800698,NA,NA,0.998444002187628,0.993629326590581,0.990652984505913,0.942721913046572,0.985528813713669,0.971787321224075,0.99900637803923,0.994488984289291,1,0.877395197712833,0.991690300643867,0.993137502829451,0.970857905502652,-0.911585834185507,0.74759396656498,NA,NA,NA,NA,NA,0.955280386355163,0.906980751370076,0.802483572039805,0.672744763762938,0.174330722837082,0.96909839663303,0.894929265178676,-0.613078384925495,-0.564276177958579,-0.650918773665436,-0.835767001824725,-0.709864402527514,0.579056185273048,0.70783632586379,0.604225496006446,-0.521819722522524
