Ano,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes,PIB_Crescimento_Real_pct,PIB_Valores_Correntes_R_milhoes,PIB_Per_Capita_R,GGR_Offshore_R_bilhoes,GGR_Nacional_R_bilhoes,GGR_Total_R_bilhoes
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315755.46783093,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488787.25515837,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717950.3964244903,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957751.2129625601,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170584.5,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409449.9399999995,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720262.9299999997,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3109803.1,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333039.3499999996,,,,
2010,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885847,,,,
2011,11.75331541218638,48.07,4.887499999999999,4.887499999999999,6.07,11.643333333333334,7.611666666666666,17.140833333333333,5.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376382,,,,
2012,8.63494623655914,43.88583333333334,5.3625,5.3625,7.071666666666667,13.643333333333333,8.765833333333333,19.2875,5.485833333333333,,,,,,,,,,,,,,,,7.4,3179.75,,,,,,,,,,,,,,,,,,,,,,,4814760,,,,
2013,8.286043906810036,40.895833333333336,4.613333333333333,4.613333333333333,6.2908333333333335,14.150833333333333,7.799166666666666,20.581666666666667,5.198333333333333,,,,,,,,,,,,,,,,7.175,3273,,,,,,,,,,,,,,,,,,,,,,,5331619.00000001,,,,
2014,10.95641641065028,47.524166666666666,4.015833333333333,4.015833333333333,5.650833333333333,13.288333333333334,7.3,18.84,5.234999999999999,,,,,,,,,,,,,,,,6.875,3339.25,,,,,,,,,,,,,,,,,,,,,,,5778953,,,,
2015,13.4663082437276,58.01166666666667,3.9225,3.9225,5.6075,14.626666666666667,7.996666666666666,16.2725,5.3,,,,,,,,,,,,,,,,8.625,3296,,,,,,,,,,,,,,,,,,,,,,,6000570.4600999905,,,,
2016,14.179435483870968,70.35833333333333,4.2283333333333335,4.2283333333333335,6.266666666666667,15.703333333333333,9.810833333333333,17.7025,5.341666666666667,,,59.04564504226571,228.45641666666666,223.5039019138705,3.869008701866946,3785.501670906962,978.7809963181929,39.601867437110414,,,,,,,11.6,3228,,,,,,,,,,,,,,,,,,,,,,,6266894.736443861,,,,
2017,10.16908922171019,63.468333333333334,3.965833333333333,3.965833333333333,5.800833333333333,15.359166666666667,8.445,18.208333333333336,4.644166666666667,,,59.746583333333334,226.87275,229.59173593345338,3.7974302729033793,3842.949200999708,1011.9805731822498,39.69826096460579,,,,,,,12.85,3280.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6.58182123655914,52.799166666666665,3.5616666666666665,3.5616666666666665,5.085,13.905,7.671666666666667,16.06,4.398333333333333,,,60.98901625,227.962923,236.04093552983332,3.737811015025838,3869.4092055595243,1035.213299469258,40.11201888562498,,,,,,,12.375,3328.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,6.038440860215053,50.55583333333333,3.480833333333333,3.480833333333333,4.935,14.765833333333333,7.675833333333333,14.8125,4.079999999999999,,,63.203134500000004,228.51270225000002,251.21219812175,3.615824562504052,3974.451373898782,1099.4675996707524,40.99981005332222,31.0997475,32.103387,8.569728416666667,23.589336,21.460808166666666,9.583261916666666,11.975,3339.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2.8911591583240637,41.05666666666667,3.5225,3.5225,5.020833333333333,15.339166666666667,7.3025,10.994166666666667,4.230833333333333,,,63.54438016666667,221.68207024999998,250.2567778739916,3.4885017803596003,3938.069816455465,1128.8426193996152,40.75023704236349,31.60929416666667,31.935086,8.142266916666667,23.078311333333332,22.02985925,10.293942666666666,13.775,3485,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,4.521818996415771,40.41416666666667,2.970833333333333,2.970833333333333,4.211666666666666,10.251666666666667,5.216666666666667,12.904166666666667,4.1925,,,62.67998716666666,211.78361716666666,247.21257423107767,3.379072198175789,3943.714790981059,1167.2638143019428,39.81937727065569,31.398595666666665,31.281391499999998,7.739039166666667,22.44037875,21.811204166666666,10.689365083333334,13.225,3236.75,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5
2022,12.537442396313363,51.280833333333334,3.6574999999999998,3.6574999999999998,5.4350000000000005,11.909166666666666,6.9475,14.503333333333334,4.809166666666666,,,67.29408075,233.62590783333334,284.89083755646266,3.47033986055397,4229.9331830420815,1218.499537294832,42.40106617385562,33.74619875,33.547882,8.654642666666668,23.89155266666667,23.07160808333333,11.676277333333333,9.25,3201,,,,,,,,,,,,,,,,,,,,,,,,,7.6,0,7.6
2023,13.299327956989247,56.56166666666667,4.098333333333333,4.098333333333333,6.180833333333333,12.996666666666666,7.693333333333333,17.295,4.513333333333334,,,71.33067758333334,263.98444416666666,351.11721721779065,3.7004928454072803,4921.1623140706215,1329.3099867317078,44.546839536493124,35.90607241666667,35.424605166666666,9.014177333333333,25.0078795,24.515112833333333,12.793507916666666,7.9750000000000005,3363.25,,,,,,,,,,,,,,,,,,,,,,,,,11.1,0,11.1
2024,10.940188172043012,52.601666666666674,3.7591666666666668,3.7591666666666668,5.610833333333334,12.155833333333334,6.489166666666667,17.6925,6.840833333333333,,,72.80281808333334,273.4347505833333,394.32223277386123,3.7558985114355874,5415.927131983435,1442.0257217824983,45.05079969091037,36.666678833333336,36.13613925,8.875793999999999,25.153270583333335,25.16933025,13.60442325,6.8500000000000005,3510.25,1.9572135629326521,2.0907258431064357,3.78461967307949,1.7368145696400181,0.12756491487481977,426303.02775,134322.0755,64533.931,74161.09524999998,35261.710999999996,118024.21275,253352.04809170743,59.781289974285926,55.28146159905045,57.59526247832437,42.43009409257395,55.032370492107304,9097.186749999997,7961.760499999999,160.225,975.1999999999999,,,,17.9,0,17.9
2025,14.411559139784945,58.45333333333333,4.55,4.55,6.5,14.391666666666666,8.264166666666666,19.305833333333332,6.395833333333334,2.42,12.14,77.95271966666667,304.5465346666667,475.72540343142316,3.904690128527975,6096.523047790161,1560.752793845049,47.81525664388848,39.23967991666667,38.71303975,9.217895666666667,26.83647141666667,27.090261166666664,14.808091416666667,5.875,3652.5,,,,,,457851.95675,143927.169,67639.2095,73651.59749999999,36430.79125,136203.18725,282506.7477502335,59.96252271583493,56.55066037843416,58.377869462007,41.498127570466565,55.63869146143719,9159.779339566998,8112.795052452517,204.940006586981,842.0437805275008,,,,4,16.7,20.7
2026,14.586499402628435,62.46166666666667,5.506666666666666,5.506666666666666,7.4,16.008333333333333,10.075,18.775,7.17,2.345,13.6,83.14545833333334,341.69489,566.9758257186667,4.109151906183032,6817.098873178726,1658.7327069699709,50.63934408864385,41.995971555555556,41.149486777777774,9.430863333333333,28.269913222222222,29.18054088888889,16.26414088888889,5.75,3766.5,1.9024627070783184,2.052465945192335,3.594870963688294,1.8506912013956476,0.09133396131920701,483300.6115,150333.21749999997,68367.16899999998,79964.821,35362.701499999996,149272.7,305109.9749435483,59.12002247359372,52.525041170522144,56.09520029322064,39.6881349646339,53.68461346048522,10175.537983642687,9319.475662354507,289.482688045401,566.8342986050008,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9264606625344047,2.053954331908854,3.669095318772776,1.8169258553727505,0.07053978080835471,,,,,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8976906411135246,2.016475048175355,3.6179579153701713,1.7052722650960699,0.08537895517814979,,,,,,,,,,,,,,,,,,,,,,
