Data_Trimestre,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes
2017-04-01,11.05,63.64666666666667,4.053333333333333,4.053333333333333,5.933333333333334,15.236666666666666,8.446666666666667,18.423333333333336,4.7299999999999995,,,59.90233333333333,228.07833333333335,231.3629843148743,3.807472892279963,3862.279438721913,1014.3927135272185,39.86290316685226,,,,,,,13.1,3260,,,,,,,,,,,,,,,,,,,,,
2017-07-01,9.274014336917562,61.50333333333333,3.9766666666666666,3.9766666666666666,5.773333333333333,15.253333333333332,8.299999999999999,18.41,4.5,,,59.80533333333333,225.99366666666666,229.248827025111,3.7788245095654767,3833.260709714175,1014.3975418140893,39.67336223376271,,,,,,,12.5,3272,,,,,,,,,,,,,,,,,,,,,
2017-10-01,7.567204301075269,57.05,3.78,3.78,5.476666666666667,15.09,8.196666666666667,18.12,4.3966666666666665,,,60.19166666666666,226.48733333333334,228.07391608588844,3.762778833854827,3789.089537515792,1006.9946490865458,39.8096887809663,,,,,,,11.9,3298,,,,,,,,,,,,,,,,,,,,,
2018-01-01,6.827284946236559,56.18666666666667,3.746666666666667,3.746666666666667,5.246666666666667,14.216666666666667,7.906666666666666,17.176666666666666,4.456666666666667,,,59.77213966666667,223.66624266666665,226.829550117,3.7420397085668484,3794.869570599503,1014.1238370408448,39.48794151074849,,,,,,,13.2,3323,,,,,,,,,,,,,,,,,,,,,
2018-04-01,6.5,53.88,3.6133333333333333,3.6133333333333333,5.1066666666666665,13.26,7.7700000000000005,16.196666666666665,4.366666666666667,,,60.88360333333333,227.59597533333334,235.18689551883332,3.738220663158621,3862.9153332957267,1033.3559553319797,40.1085672196735,,,,,,,12.6,3329,,,,,,,,,,,,,,,,,,,,,
2018-07-01,6.5,51.086666666666666,3.5266666666666664,3.5266666666666664,5.073333333333333,13.799999999999999,7.55,15.629999999999999,4.430000000000001,,,60.996769666666665,227.81216233333333,236.93876161216667,3.734821618029697,3884.45190588115,1040.0579325795586,40.0611273299552,,,,,,,12,3318,,,,,,,,,,,,,,,,,,,,,
2018-10-01,6.5,50.04333333333334,3.36,3.36,4.913333333333333,14.343333333333334,7.46,15.236666666666666,4.34,,,62.30355233333333,232.77731166666666,245.2085348713333,3.736162070348187,3935.4000124617173,1053.315472924649,40.79043948212271,,,,,,,11.7,3343,,,,,,,,,,,,,,,,,,,,,
2019-01-01,6.5,51.64333333333333,3.383333333333333,3.383333333333333,4.826666666666666,13.613333333333333,7.346666666666667,15.143333333333334,4.2333333333333325,,,62.43645766666667,229.65648533333334,245.347181938,3.678271295179257,3929.464533286581,1068.297405943722,40.74401543762747,30.731983,31.704474666666666,8.621281666666667,23.476006666666667,21.070783,9.268386333333334,12.8,3361,,,,,,,,,,,,,,,,,,,,,
2019-04-01,6.5,52.11,3.4233333333333333,3.4233333333333333,4.8566666666666665,13.936666666666667,7.583333333333333,14.966666666666667,4.076666666666666,,,63.34353466666667,229.71864566666667,250.14405210616667,3.6265612090869705,3948.975593966978,1088.9148551432108,41.086315349827714,31.188998,32.154536666666665,8.601621333333334,23.675342333333333,21.477457,9.589114,12.1,3320,,,,,,,,,,,,,,,,,,,,,
2019-07-01,6.1,50.61333333333333,3.54,3.54,4.98,14.95,7.793333333333333,14.63,3.973333333333333,,,63.365972,228.119209,253.64877259666667,3.600002058571502,4002.9174684563595,1111.9300184878546,41.045354290409705,31.177299666666666,32.188672333333336,8.525175333333333,23.621742333333334,21.556323666666664,9.662730666666667,11.9,3325,,,,,,,,,,,,,,,,,,,,,
